,name,Detail Views,path,brightness,complexity,colorfulness,quality
0,#NAME?,1808,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/-BOBedcjySI.jpg,88725.81179,0.945531684,47.36801401,66.26636743
1,#NAME?,18463,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/-FXLwjugI_Q.jpg,118500.1803,0.981748047,102.4965553,69.95396579
2,#NAME?,249561,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/-pEs-Bss8Wc.jpg,106622.8822,0.97147895,96.84169596,69.5608881
3,-Sgw-6a1HjU.jpg,13040,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/-Sgw-6a1HjU.jpg,108188.6245,0.976740451,58.85056302,87.02515193
4,#NAME?,2231004,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/-VDXBHLU8q4.jpg,123443.4703,0.916993273,81.36903423,28.30500084
5,#NAME?,6477,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/-vQ8r-T4Pi4.jpg,143067.4802,0.943729384,156.5999056,78.83250821
6,01sAkU_NvOY.jpg,1128802,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/01sAkU_NvOY.jpg,121605.6339,0.95757704,69.37632952,54.50685276
7,0c6JXSQKEP4.jpg,68278,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/0c6JXSQKEP4.jpg,102370.1638,0.947539063,47.86411786,66.56163269
8,0DLnExXGrRE.jpg,58652,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/0DLnExXGrRE.jpg,159303.3993,0.975948351,86.75666578,41.09417623
9,0sOvCWFmrtA.jpg,1217237,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/0sOvCWFmrtA.jpg,93775.41346,0.979917535,45.33508735,61.21344549
10,0unqyeg7LXo.jpg,53571,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/0unqyeg7LXo.jpg,170476.5038,0.963857422,53.81231116,46.45122644
11,27u8xHqLMZE.jpg,805466,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/27u8xHqLMZE.jpg,145007.9122,0.97178928,61.95221498,49.87256538
12,29ORwoToTww.jpg,80579,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/29ORwoToTww.jpg,112533.3132,0.932288411,96.14905318,48.22458462
13,2H3e8RgY7C0.jpg,178,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/2H3e8RgY7C0.jpg,76163.73574,0.978318142,66.71667032,59.98603829
14,2ITe5fdzCas.jpg,6036,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/2ITe5fdzCas.jpg,88209.76374,0.956985677,64.69827104,-0.437053558
15,2WL-XTl2QYI.jpg,158537,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/2WL-XTl2QYI.jpg,120353.907,0.971409505,84.58018393,46.89347357
16,3kPOahr0unM.jpg,238916,E:/00 KULYAH/SEMESTER 5/Data Mining II/UAS/Projek UAS/all/3kPOahr0unM.jpg,104022.3526,0.950192057,51.26040843,21.94577716
